"Name.en","Name.fr","Name.de"
"[CA25N] Private nonfarm employment: Mining, quarrying, and oil and gas extraction","[CA25N] l'emploi non agricole privé: Mines, carrières, et l'extraction de pétrole et de gaz","[CA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Bergbau, Öl- und Gasförderung"
"[CA30] Supplements to wages and salaries","[CA30] Suppléments aux salaires et traitements","[CA30] Ergänzungen auf Löhne und Gehälter"
"[CA45] Petroleum products purchased","produits [CA45] pétroliers achetés","[CA45] Erdölprodukte gekauft"
"[CA5] Private nonfarm earnings: Mining","[CA5] privées gains non agricoles: Mines","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau"
"[CA5N] Private nonfarm earnings: Mining, quarrying, and oil and gas extraction","[CA5N] privées gains non agricoles: Mines, carrières, et l'extraction de pétrole et de gaz","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau, Gewinnung von Steinen und Öl- und Gasförderung"
"[CA6] Private nonfarm compensation: Mining","[CA6] Private rémunération non agricole: Mines","[CA6] Privat außerhalb der Landwirtschaft Entschädigung: Bergbau"
"[CA6N] Private nonfarm compensation: Mining, quarrying, and oil and gas extraction","[CA6N] Private rémunération non agricole: Mines, carrières, et l'extraction de pétrole et de gaz","[CA6N] Privat außerhalb der Landwirtschaft Entschädigung: Bergbau, Gewinnung von Steinen und Öl- und Gasförderung"
"[SA25] Private nonfarm employment: Mining","[SA25] de l'emploi non agricole privé: Mines","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Bergbau"
"[SA25N] Private nonfarm employment: Mining, quarrying, and oil and gas extraction","[SA25N] l'emploi non agricole privé: Mines, carrières, et l'extraction de pétrole et de gaz","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Bergbau, Öl- und Gasförderung"
"[SA27] Private nonfarm wage and salary employment: Mining","[SA27] salaire non agricole privé et de l'emploi de salaire: Mines","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Bergbau"
"[SA27N] Private nonfarm wage and salary employment: Mining, quarrying, and oil and gas extraction","[SA27N] salaire non agricole privé et de l'emploi de salaire: Mines, carrières, et l'extraction de pétrole et de gaz","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Bergbau, Öl- und Gasförderung"
"[SA30] Supplements to wages and salaries","[SA30] Suppléments aux salaires et traitements","[SA30] Ergänzungen auf Löhne und Gehälter"
"[SA45] Petroleum products purchased","produits [SA45] pétroliers achetés","[SA45] Erdölprodukte gekauft"
"[SA5] Private nonfarm earnings: Mining","[SA5] privées gains non agricoles: Mines","[SA5] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau"
"[SA50] Local governments Motor vehicle licenses","[SA50] Les gouvernements locaux automobiles licences de véhicules","[SA50] Lokale Regierungen Kfz-Lizenzen"
"[SA5H] Private nonfarm earnings: Mining","[SA5H] privées gains non agricoles: Mines","[SA5H] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau"
"[SA5N] Private nonfarm earnings: Mining, quarrying, and oil and gas extraction","[SA5N] privées gains non agricoles: Mines, carrières, et l'extraction de pétrole et de gaz","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau, Gewinnung von Steinen und Öl- und Gasförderung"
"[SA6] Private nonfarm compensation: Mining","[SA6] Private rémunération non agricole: Mines","[SA6] Privat außerhalb der Landwirtschaft Entschädigung: Bergbau"
"[SA6N] Private nonfarm compensation: Mining, quarrying, and oil and gas extraction","[SA6N] Private rémunération non agricole: Mines, carrières, et l'extraction de pétrole et de gaz","[SA6N] Privat außerhalb der Landwirtschaft Entschädigung: Bergbau, Gewinnung von Steinen und Öl- und Gasförderung"
"[SA7] Private nonfarm wages and salaries: Mining","[SA7] traitements et salaires non agricoles privés: Mines","[SA7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Bergbau"
"[SA7H] Private nonfarm wages and salaries: Mining","[SA7H] traitements et salaires non agricoles privés: Mines","[SA7H] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Bergbau"
"[SA7N] Private nonfarm wages and salaries: Mining, quarrying, and oil and gas extraction","[SA7N] traitements et salaires non agricoles privés: Mines, carrières, et l'extraction de pétrole et de gaz","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Bergbau, Gewinnung von Steinen und Öl- und Gasförderung"
"[SQ5] Private nonfarm earnings: Mining","[SQ5] des revenus non agricoles privés: Mines","[SQ5] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau"
"[SQ5H] Private nonfarm earnings: Mining","[SQ5H] privées gains non agricoles: Mines","[SQ5H] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau"
"[SQ5N] Private nonfarm earnings: Mining, quarrying, and oil and gas extraction","[SQ5N] privées gains non agricoles: Mines, carrières, et l'extraction de pétrole et de gaz","[SQ5N] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau, Gewinnung von Steinen und Öl- und Gasförderung"
"[SQ6] Private nonfarm compensation: Mining","[SQ6] Privé de rémunération non agricole: Mines","[SQ6] Privat außerhalb der Landwirtschaft Entschädigung: Bergbau"
"[SQ6N] Private nonfarm compensation: Mining, quarrying, and oil and gas extraction","[SQ6N] Private rémunération non agricole: Mines, carrières, et l'extraction de pétrole et de gaz","[SQ6N] Privat außerhalb der Landwirtschaft Entschädigung: Bergbau, Gewinnung von Steinen und Öl- und Gasförderung"
"[SQ7] Private nonfarm wages and salaries: Mining","[SQ7] les salaires non agricoles privés et salaires: Mines","[SQ7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Bergbau"
"[SQ7H] Private nonfarm wages and salaries: Mining","[SQ7H] traitements et salaires non agricoles privés: Mines","[SQ7H] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Bergbau"
"[SQ7N] Private nonfarm wages and salaries: Mining, quarrying, and oil and gas extraction","[SQ7N] traitements et salaires non agricoles privés: Mines, carrières, et l'extraction de pétrole et de gaz","[SQ7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Bergbau, Gewinnung von Steinen und Öl- und Gasförderung"
"[CA25N] Employment: Government and government enterprises","[CA25N] Emploi: gouvernement et entreprises publiques","[CA25N] Beschäftigung: Regierung und staatlichen Unternehmen"
"[CA35] Current transfer receipts of individuals from governments","[CA35] reçus de transfert actuels des individus des gouvernements","[CA35] Aktuelle Transfereinnahmen von Personen aus Regierungen"
"[CA5N] Earnings: Government and government enterprises","[CA5N] Gains: Gouvernement et entreprises publiques","[CA5N] Ergebnis: Regierung und staatlichen Unternehmen"
"[CA6N] Compensation: Government and government enterprises","[CA6N] Rémunération: gouvernement et entreprises publiques","[CA6N] Kompensation: Regierung und staatlichen Unternehmen"
"[SA25N] Employment: Government and government enterprises","[SA25N] Emploi: gouvernement et entreprises publiques","[SA25N] Beschäftigung: Regierung und staatlichen Unternehmen"
"[SA27N] Wage and salary employment: Government and government enterprises","[SA27N] emploi sur le salaire et le salaire: le gouvernement et les entreprises publiques","[SA27N] Lohn- und Gehalts Beschäftigung: Regierung und staatlichen Unternehmen"
"[SA35] Current transfer receipts of individuals from governments","[SA35] reçus de transfert actuels des individus des gouvernements","[SA35] Aktuelle Transfereinnahmen von Personen aus Regierungen"
"[SA5N] Earnings: Government and government enterprises","[SA5N] Gains: Gouvernement et entreprises publiques","[SA5N] Ergebnis: Regierung und staatlichen Unternehmen"
"[SA6N] Compensation: Government and government enterprises","[SA6N] Rémunération: gouvernement et entreprises publiques","[SA6N] Kompensation: Regierung und staatlichen Unternehmen"
"[SA7N] Wages and salaries: Government and government enterprises","[SA7N] Salaires et traitements: Gouvernement et entreprises publiques","[SA7N] Löhne und Gehälter: Regierung und staatlichen Unternehmen"
"[SQ5N] Earnings: Government and government enterprises","[SQ5N] Gains: Gouvernement et entreprises publiques","[SQ5N] Ergebnis: Regierung und staatlichen Unternehmen"
"[SQ6N] Compensation: Government and government enterprises","[SQ6N] Rémunération: gouvernement et entreprises publiques","[SQ6N] Kompensation: Regierung und staatlichen Unternehmen"
"[SQ7N] Wages and salaries: Government and government enterprises","[SQ7N] Salaires et traitements: Gouvernement et entreprises publiques","[SQ7N] Löhne und Gehälter: Regierung und staatlichen Unternehmen"
"[CA25N] Govt. and govt. enterprises employment: Federal, civilian","[CA25N] Govt. et gouv. emploi entreprises: fédéral, civil","[CA25N] Govt. und Govt. Unternehmen Beschäftigung: Bundes, zivile"
"[CA5N] Govt. and govt. enterprises earnings: Federal, civilian","[CA5N] Govt. et gouv. entreprises bénéfice: fédéral, civil","[CA5N] Govt. und Govt. Unternehmen Ergebnis: Federal, zivile"
"[CA6N] Govt. and govt. enterprises compensation: Federal, civilian","[CA6N] Govt. et gouv. indemnisation des entreprises: fédéral, civil","[CA6N] Govt. und Govt. Unternehmen Entschädigung: Federal, zivile"
"[SA25N] Govt. and govt. enterprises employment: Federal, civilian","[SA25N] Govt. et gouv. emploi entreprises: fédéral, civil","[SA25N] Govt. und Govt. Unternehmen Beschäftigung: Bundes, zivile"
"[SA27N] Govt. and govt. enterprises wage and salary employment: Federal, civilian","[SA27N] Govt. et gouv. entreprises emploi salarié: fédéral, civil","[SA27N] Govt. und Govt. Unternehmen Lohn- und Gehalts Beschäftigung: Bundes, zivile"
"[SA5N] Govt. and govt. enterprises earnings: Federal, civilian","[SA5N] Govt. et gouv. entreprises bénéfice: fédéral, civil","[SA5N] Govt. und Govt. Unternehmen Ergebnis: Federal, zivile"
"[SA6N] Govt. and govt. enterprises compensation: Federal, civilian","[SA6N] Govt. et gouv. indemnisation des entreprises: fédéral, civil","[SA6N] Govt. und Govt. Unternehmen Entschädigung: Federal, zivile"
"[SA7N] Govt. and govt. enterprises wages and salaries: Federal, civilian","[SA7N] Govt. et gouv. entreprises salaires et traitements: fédéral, civil","[SA7N] Govt. und Govt. Unternehmen Löhne und Gehälter: Bundes, zivile"
"[SQ5N] Govt. and govt. enterprises earnings: Federal, civilian","[SQ5N] Govt. et gouv. entreprises bénéfice: fédéral, civil","[SQ5N] Govt. und Govt. Unternehmen Ergebnis: Federal, zivile"
"[SQ6N] Govt. and govt. enterprises compensation: Federal, civilian","[SQ6N] Govt. et gouv. indemnisation des entreprises: fédéral, civil","[SQ6N] Govt. und Govt. Unternehmen Entschädigung: Federal, zivile"
"[SQ7N] Govt. and govt. enterprises wages and salaries: Federal, civilian","[SQ7N] Govt. et gouv. entreprises salaires et traitements: fédéral, civil","[SQ7N] Govt. und Govt. Unternehmen Löhne und Gehälter: Bundes, zivile"
"[CA25N] Govt. and govt. enterprises employment: Military","[CA25N] Govt. et gouv. entreprises emploi: militaire","[CA25N] Govt. und Govt. Unternehmen Beschäftigung: Militär"
"[CA5N] Govt. and govt. enterprises earnings: Military","[CA5N] Govt. et gouv. entreprises: bénéfice militaire","[CA5N] Govt. und Govt. Unternehmen Ergebnis: Military"
"[CA6N] Govt. and govt. enterprises compensation: Military","[CA6N] Govt. et gouv. compensation entreprises: Militaire","[CA6N] Govt. und Govt. Unternehmen Entschädigung: Militär"
"[SA25N] Govt. and govt. enterprises employment: Military","[SA25N] Govt. et gouv. entreprises emploi: militaire","[SA25N] Govt. und Govt. Unternehmen Beschäftigung: Militär"
"[SA27N] Govt. and govt. enterprises wage and salary employment: Military","[SA27N] Govt. et gouv. entreprises salaires et l'emploi de salaire: militaire","[SA27N] Govt. und Govt. Unternehmen Lohn- und Gehalts Beschäftigung: Military"
"[SA5N] Govt. and govt. enterprises earnings: Military","[SA5N] Govt. et gouv. entreprises: bénéfice militaire","[SA5N] Govt. und Govt. Unternehmen Ergebnis: Military"
"[SA6N] Govt. and govt. enterprises compensation: Military","[SA6N] Govt. et gouv. compensation entreprises: Militaire","[SA6N] Govt. und Govt. Unternehmen Entschädigung: Militär"
"[SA7N] Govt. and govt. enterprises wages and salaries: Military","[SA7N] Govt. et gouv. entreprises salaires et traitements: militaires","[SA7N] Govt. und Govt. Unternehmen Löhne und Gehälter: Militär"
"[SQ5N] Govt. and govt. enterprises earnings: Military","[SQ5N] Govt. et gouv. entreprises: bénéfice militaire","[SQ5N] Govt. und Govt. Unternehmen Ergebnis: Military"
"[SQ6N] Govt. and govt. enterprises compensation: Military","[SQ6N] Govt. et gouv. compensation entreprises: Militaire","[SQ6N] Govt. und Govt. Unternehmen Entschädigung: Militär"
"[SQ7N] Govt. and govt. enterprises wages and salaries: Military","[SQ7N] Govt. et gouv. entreprises salaires et traitements: militaires","[SQ7N] Govt. und Govt. Unternehmen Löhne und Gehälter: Militär"
"[CA30] Employer contributions for employee pension and insurance funds","[CA30] Cotisations de l'employeur pour la pension des employés et des fonds d'assurance","[CA30] Arbeitgeberbeiträge für Arbeitnehmer Renten- und Versicherungsfonds"
"[CA5N] Private nonfarm earnings: Oil and gas extraction","[CA5N] Le bénéfice non agricole privé: L'extraction de pétrole et de gaz","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Öl- und Gasförderung"
"[CA6N] Private nonfarm compensation: Oil and gas extraction","[CA6N] Private rémunération non agricole: extraction de pétrole et de gaz","[CA6N] Privat außerhalb der Landwirtschaft Kompensation: Öl- und Gasförderung"
"[SA25N] Private nonfarm employment: Oil and gas extraction","[SA25N] l'emploi non agricole privé: L'extraction de pétrole et de gaz","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Öl- und Gasförderung"
"[SA27N] Private nonfarm wage and salary employment: Oil and gas extraction","[SA27N] salaire non agricole privé et le salaire de l'emploi: L'extraction de pétrole et de gaz","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Öl- und Gasförderung"
"[SA30] Employer contributions for employee pension and insurance funds","[SA30] Cotisations de l'employeur pour la pension des employés et des fonds d'assurance","[SA30] Die Arbeitgeberbeiträge für Arbeitnehmer Renten- und Versicherungsfonds"
"[SA5N] Private nonfarm earnings: Oil and gas extraction","[SA5N] Le bénéfice non agricole privé: L'extraction de pétrole et de gaz","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Öl- und Gasförderung"
"[SA6N] Private nonfarm compensation: Oil and gas extraction","[SA6N] Private rémunération non agricole: extraction de pétrole et de gaz","[SA6N] Privat außerhalb der Landwirtschaft Kompensation: Öl- und Gasförderung"
"[SA7N] Private nonfarm wages and salaries: Oil and gas extraction","[SA7N] traitements et salaires non agricoles privés: L'extraction de pétrole et de gaz","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Öl- und Gasförderung"
"[CA25N] Govt. and govt. enterprises employment: State and local","[CA25N] Govt. et gouv. emploi entreprises: État et local","[CA25N] Govt. und Govt. Unternehmen Beschäftigung: Staatliche und lokale"
"[CA5N] Govt. and govt. enterprises earnings: State and local","[CA5N] Govt. et gouv. entreprises bénéfice: État et local","[CA5N] Govt. und Govt. Unternehmen Ergebnis: Staatliche und lokale"
"[CA6N] Govt. and govt. enterprises compensation: State and local","[CA6N] Govt. et gouv. indemnisation des entreprises: État et local","[CA6N] Govt. und Govt. Unternehmen Entschädigung: Staatliche und lokale"
"[SA25N] Govt. and govt. enterprises employment: State and local","[SA25N] Govt. et gouv. emploi entreprises: État et local","[SA25N] Govt. und Govt. Unternehmen Beschäftigung: Staatliche und lokale"
"[SA27N] Govt. and govt. enterprises wage and salary employment: State and local","[SA27N] Govt. et gouv. entreprises emploi salarié: État et local","[SA27N] Govt. und Govt. Unternehmen Lohn- und Gehalts Beschäftigung: Staatliche und lokale"
"[SA5N] Govt. and govt. enterprises earnings: State and local","[SA5N] Govt. et gouv. entreprises bénéfice: État et local","[SA5N] Govt. und Govt. Unternehmen Ergebnis: Staatliche und lokale"
"[SA6N] Govt. and govt. enterprises compensation: State and local","[SA6N] Govt. et gouv. indemnisation des entreprises: État et local","[SA6N] Govt. und Govt. Unternehmen Entschädigung: Staatliche und lokale"
"[SA7N] Govt. and govt. enterprises wages and salaries: State and local","[SA7N] Govt. et gouv. entreprises salaires et traitements: État et local","[SA7N] Govt. und Govt. Unternehmen Löhne und Gehälter: Staatliche und lokale"
"[SQ5N] Govt. and govt. enterprises earnings: State and local","[SQ5N] Govt. et gouv. entreprises bénéfice: État et local","[SQ5N] Govt. und Govt. Unternehmen Ergebnis: Staatliche und lokale"
"[SQ6N] Govt. and govt. enterprises compensation: State and local","[SQ6N] Govt. et gouv. indemnisation des entreprises: État et local","[SQ6N] Govt. und Govt. Unternehmen Entschädigung: Staatliche und lokale"
"[SQ7N] Govt. and govt. enterprises wages and salaries: State and local","[SQ7N] Govt. et gouv. entreprises salaires et traitements: État et local","[SQ7N] Govt. und Govt. Unternehmen Löhne und Gehälter: Staatliche und lokale"
"[CA25N] Govt. and govt. enterprises employment: State government","[CA25N] Govt. et gouv. emploi entreprises: gouvernement de l'État","[CA25N] Govt. und Govt. Unternehmen Beschäftigung: Landesregierung"
"[CA5N] Govt. and govt. enterprises earnings: State government","[CA5N] Govt. et gouv. entreprises bénéfice: gouvernement État","[CA5N] Govt. und Govt. Unternehmen Ergebnis: Landesregierung"
"[CA6N] Govt. and govt. enterprises compensation: State government","[CA6N] Govt. et gouv. indemnisation des entreprises: gouvernement de l'État","[CA6N] Govt. und Govt. Unternehmen Entschädigung: Landesregierung"
"[SA25N] Govt. and govt. enterprises employment: State government","[SA25N] Govt. et gouv. emploi entreprises: gouvernement de l'État","[SA25N] Govt. und Govt. Unternehmen Beschäftigung: Landesregierung"
"[SA27N] Govt. and govt. enterprises wage and salary employment: State government","[SA27N] Govt. et gouv. entreprises salaires et l'emploi de salaire: gouvernement de l'État","[SA27N] Govt. und Govt. Unternehmen Lohn- und Gehalts Beschäftigung: Landesregierung"
"[SA5N] Govt. and govt. enterprises earnings: State government","[SA5N] Govt. et gouv. entreprises bénéfice: gouvernement État","[SA5N] Govt. und Govt. Unternehmen Ergebnis: Landesregierung"
"[SA6N] Govt. and govt. enterprises compensation: State government","[SA6N] Govt. et gouv. indemnisation des entreprises: gouvernement de l'État","[SA6N] Govt. und Govt. Unternehmen Entschädigung: Landesregierung"
"[SA7N] Govt. and govt. enterprises wages and salaries: State government","[SA7N] Govt. et gouv. entreprises salaires et traitements: gouvernement de l'État","[SA7N] Govt. und Govt. Unternehmen Löhne und Gehälter: Landesregierung"
"[CA25N] Govt. and govt. enterprises employment: Local government","[CA25N] Govt. et gouv. entreprises de l'emploi: Le gouvernement local","[CA25N] Govt. und Govt. Unternehmen Beschäftigung: Gemeindeverwaltung"
"[CA5N] Govt. and govt. enterprises earnings: Local government","[CA5N] Govt. et gouv. entreprises bénéfice: le gouvernement local","[CA5N] Govt. und Govt. Unternehmen Ergebnis: Gemeindeverwaltung"
"[CA6N] Govt. and govt. enterprises compensation: Local government","[CA6N] Govt. et gouv. compensation entreprises: Le gouvernement local","[CA6N] Govt. und Govt. Unternehmen Entschädigung: Gemeindeverwaltung"
"[SA25N] Govt. and govt. enterprises employment: Local government","[SA25N] Govt. et gouv. entreprises de l'emploi: Le gouvernement local","[SA25N] Govt. und Govt. Unternehmen Beschäftigung: Gemeindeverwaltung"
"[SA27N] Govt. and govt. enterprises wage and salary employment: Local government","[SA27N] Govt. et gouv. entreprises emploi salarié: gouvernement local","[SA27N] Govt. und Govt. Unternehmen Lohn- und Gehalts Beschäftigung: Gemeindeverwaltung"
"[SA5N] Govt. and govt. enterprises earnings: Local government","[SA5N] Govt. et gouv. entreprises bénéfice: le gouvernement local","[SA5N] Govt. und Govt. Unternehmen Ergebnis: Gemeindeverwaltung"
"[SA6N] Govt. and govt. enterprises compensation: Local government","[SA6N] Govt. et gouv. compensation entreprises: Le gouvernement local","[SA6N] Govt. und Govt. Unternehmen Entschädigung: Gemeindeverwaltung"
"[SA7N] Govt. and govt. enterprises wages and salaries: Local government","[SA7N] Govt. et gouv. entreprises salaires et traitements: le gouvernement local","[SA7N] Govt. und Govt. Unternehmen Löhne und Gehälter: Gemeindeverwaltung"
"[CA30] Employer contributions for government social insurance","[CA30] Les cotisations patronales d'assurance sociale du gouvernement","[CA30] Arbeitgeberbeiträge für staatliche Sozialversicherung"
"[CA5N] Private nonfarm earnings: Mining (except oil and gas)","[CA5N] privées gains non agricoles: Mines (sauf le pétrole et le gaz)","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau (außer Öl und Gas)"
"[CA6N] Private nonfarm compensation: Mining (except oil and gas)","[CA6N] Private rémunération non agricole: Extraction minière (sauf pétrole et gaz)","[CA6N] Privat außerhalb der Landwirtschaft Entschädigung: Bergbau (außer Öl und Gas)"
"[SA25N] Private nonfarm employment: Mining (except oil and gas)","[SA25N] l'emploi non agricole privé: Extraction minière (sauf pétrole et gaz)","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Bergbau (außer Öl und Gas)"
"[SA27N] Private nonfarm wage and salary employment: Mining (except oil and gas)","[SA27N] salaire non agricole privé et de l'emploi de salaire: Extraction minière (sauf pétrole et gaz)","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Bergbau (außer Öl und Gas)"
"[SA30] Employer contributions for government social insurance","[SA30] Les cotisations patronales d'assurance sociale du gouvernement","[SA30] Die Arbeitgeberbeiträge für staatliche Sozialversicherung"
"[SA5N] Private nonfarm earnings: Mining (except oil and gas)","[SA5N] privées gains non agricoles: Mines (sauf le pétrole et le gaz)","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Bergbau (außer Öl und Gas)"
"[SA6N] Private nonfarm compensation: Mining (except oil and gas)","[SA6N] Private rémunération non agricole: Extraction minière (sauf pétrole et gaz)","[SA6N] Privat außerhalb der Landwirtschaft Entschädigung: Bergbau (außer Öl und Gas)"
"[SA7N] Private nonfarm wages and salaries: Mining (except oil and gas)","[SA7N] les salaires non agricoles privés et salaires: Mines (sauf pétrole et gaz)","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Bergbau (außer Öl und Gas)"
"[CA5N] Private nonfarm earnings: Support activities for mining","[CA5N] gains non agricoles privées: activités de soutien à l'exploitation minière","[CA5N] Privat außerhalb der Landwirtschaft Ergebnis: Erbringung von Dienstleistungen für den Bergbau"
"[CA6N] Private nonfarm compensation: Support activities for mining","[CA6N] non agricoles privés compensation: Activités de soutien à l'exploitation minière","[CA6N] Privat außerhalb der Landwirtschaft Entschädigung: Erbringung von Dienstleistungen für den Bergbau"
"[SA25N] Private nonfarm employment: Support activities for mining","[SA25N] non agricoles privés d'emploi: Les activités de soutien à l'extraction minière","[SA25N] Privat außerhalb der Landwirtschaft Beschäftigung: Erbringung von Dienstleistungen für den Bergbau"
"[SA27N] Private nonfarm wage and salary employment: Support activities for mining","[SA27N] salaire non agricole privé et les salaires de l'emploi: activités de soutien à l'exploitation minière","[SA27N] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Erbringung von Dienstleistungen für den Bergbau"
"[SA5N] Private nonfarm earnings: Support activities for mining","[SA5N] gains non agricoles privées: activités de soutien à l'exploitation minière","[SA5N] Privat außerhalb der Landwirtschaft Ergebnis: Erbringung von Dienstleistungen für den Bergbau"
"[SA6N] Private nonfarm compensation: Support activities for mining","[SA6N] non agricoles privés compensation: Activités de soutien à l'exploitation minière","[SA6N] Privat außerhalb der Landwirtschaft Entschädigung: Erbringung von Dienstleistungen für den Bergbau"
"[SA7N] Private nonfarm wages and salaries: Support activities for mining","[SA7N] salaires et traitements non agricoles Privé: Activités de soutien à l'exploitation minière","[SA7N] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Erbringung von Dienstleistungen für den Bergbau"
"[CA30] Proprietors' income","[CA30] revenu »Proprietors","[CA30] Proprietors 'Einkommen"
"[CA45] Hired farm labor expenses","[CA45] dépenses de main-d'œuvre agricole salariée","[CA45] Hired Farm Arbeitskosten"
"[CA5] Private nonfarm earnings: Metal mining","[CA5] privées gains non agricoles: mines de métaux","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Metallbergbau"
"[CA6] Private nonfarm compensation: Metal mining","[CA6] Private rémunération non agricole: mines de métaux","[CA6] Privat außerhalb der Landwirtschaft Entschädigung: Metallbergbau"
"[SA25] Private nonfarm employment: Metal mining","[SA25] de l'emploi non agricole privé: mines de métaux","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Metallbergbau"
"[SA27] Private nonfarm wage and salary employment: Metal mining","[SA27] salaire non agricole privé et de l'emploi de salaire: mines de métaux","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Metallbergbau"
"[SA30] Proprietors' income","[SA30] revenu »Proprietors","[SA30] Proprietors 'Einkommen"
"[SA45] Hired farm labor expenses","[SA45] dépenses de main-d'œuvre agricole salariée","[SA45] Hired Farm Arbeitskosten"
"[SA5] Private nonfarm earnings: Metal mining","[SA5] privées gains non agricoles: mines de métaux","[SA5] Privat außerhalb der Landwirtschaft Ergebnis: Metallbergbau"
"[SA50] Local governments Other taxes","[SA50] Les gouvernements locaux Autres impôts","[SA50] Lokalregierungen Sonstige Steuern"
"[SA6] Private nonfarm compensation: Metal mining","[SA6] Private rémunération non agricole: mines de métaux","[SA6] Privat außerhalb der Landwirtschaft Entschädigung: Metallbergbau"
"[SA7] Private nonfarm wages and salaries: Metal mining","[SA7] traitements et salaires non agricoles privés: mines de métaux","[SA7] Privat außerhalb der Landwirtschaft Löhne und Gehälter: Metallbergbau"
"[CA35] Retirement and disability insurance benefits","[CA35] de retraite et d'invalidité des prestations d'assurance","[CA35] Alters- und Invalidenversicherung Vorteile"
"[SA35] Retirement and disability insurance benefits","[SA35] de retraite et d'invalidité des prestations d'assurance","[SA35] Alters- und Invalidenversicherung Vorteile"
"[CA35] Social Security benefits","avantages [CA35] Sécurité sociale","[CA35] Leistungen der sozialen Sicherheit"
"[SA35] Social Security benefits","avantages [SA35] Sécurité sociale","[SA35] Leistungen der sozialen Sicherheit"
"[SQ35] Social Security benefits","avantages [SQ35] Sécurité sociale","[SQ35] Leistungen der sozialen Sicherheit"
"[CA35] Excluding Social Security benefits","[CA35] Avantages hors sécurité sociale","[CA35] ohne Leistungen der sozialen Sicherheit"
"[SA35] Excluding Social Security benefits","avantages [SA35] Hors sécurité sociale","[SA35] ohne Leistungen der sozialen Sicherheit"
"[SA35] Railroad retirement and disability benefits","[SA35] retraite de chemin de fer et d'invalidité","[SA35] Eisenbahn Alters- und Invalidenleistungen"
"[SA35] Workers' compensation","compensation »[SA35] Les travailleurs","[SA35] Workers 'Compensation"
"[SA35] Other government retirement and disability insurance benefits","[SA35] Autres prestations d'assurance-retraite du gouvernement et d'invalidité","[SA35] Andere staatliche Alters- und Invalidenversicherung Vorteile"
"[CA30] Farm proprietors' income","[CA30] le revenu des propriétaires de la ferme","[CA30] Einkommen 'Farm Eigentümer"
"[CA45] All other production expenses","[CA45] Tous les autres frais de production","[CA45] Alle anderen Produktionskosten"
"[CA5] Private nonfarm earnings: Coal mining","[CA5] privées gains non agricoles: les mines de charbon","[CA5] Privat außerhalb der Landwirtschaft Ergebnis: Der Kohlebergbau"
"[CA6] Private nonfarm compensation: Coal mining","[CA6] Private rémunération non agricole: les mines de charbon","[CA6] Privat außerhalb der Landwirtschaft Entschädigung: Der Kohlebergbau"
"[SA25] Private nonfarm employment: Coal mining","[SA25] de l'emploi non agricole privé: L'extraction du charbon","[SA25] Privat außerhalb der Landwirtschaft Beschäftigung: Kohlebergbau"
"[SA27] Private nonfarm wage and salary employment: Coal mining","[SA27] salaire non agricole privé et de l'emploi de salaire: les mines de charbon","[SA27] Privat außerhalb der Landwirtschaft Lohn- und Gehalts Beschäftigung: Kohlebergbau"
"[SA30] Farm proprietors' income","[SA30] le revenu des propriétaires de la ferme","[SA30] Einkommen 'Farm Eigentümer"
"[SA45] All other production expenses","[SA45] Tous les autres frais de production","[SA45] Alle anderen Produktionskosten"
